Dimension,Category,Bucket,Description,Example,NOTE
Reasoning Weakness,Conflating Argument with Persuasion,Process / Cognitive Issues,Focusing solely on persuasive techniques and ignoring the need for logical soundness or inquiry.,Using emotional appeals to win an argument without addressing opposing evidence.,
Reasoning Weakness,Ignoring Scope of Argument,Scope / Framing / Language,Failing to clarify the scope of a generalization or to articulate implicit assumptions about generalizability.,Claiming that a treatment works universally when it was only tested on a narrow population.,
Reasoning Weakness,CherryâPicking/Selective Evidence,Other / Check,Prefers favorable evidence while ignoring disconfirming data.,Cites one supportive study and ignores several null results.,
Reasoning Weakness,HARKing (Hypothesizing After Results are Known),Robustness & Overfitting,Presents postâhoc hypotheses as if a priori.,Retrofits a story to match statistically significant findings.,
Reasoning Weakness,PâHacking/Data Dredging,Other / Check,Dataâdependent specification searches inflate false positives.,Tries many outcomes and reports only significant ones.,
Reasoning Weakness,Overfitting/Overinterpretation,Robustness & Overfitting,Fits noise or reads too much into fragile patterns.,Complex model shows high inâsample accuracy but fails outâofâsample.,
Reasoning Weakness,Misusing Statistical Significance,Design & Statistical Pitfalls,Conflates pâvalues with effect importance or certainty.,"Declares ""no effect"" from p=0.06 despite meaningful estimate.",
Reasoning Weakness,Unaddressed Confounding,Causal / Identification Errors,Fails to consider or adjust for plausible confounders.,Attributing effects to feature launch without controls.,
Reasoning Weakness,Multiple Testing Without Correction,Design & Statistical Pitfalls,Drawing inferences after many comparisons without controlling the family-wise error or false discovery rate.,"Testing 40 outcomes and reporting the lone p=0.04 as Òevidence,Ó with no multiplicity adjustment. (Wikipedia)",
Reasoning Weakness,Researcher Degrees of Freedom (ÒGarden of Forking PathsÓ),Design & Statistical Pitfalls,"Undocumented analytic choices make ÒsignificantÓ results too easy, even without intentional p-hacking.","Trying several outcome definitions and subgroup cuts, then writing as if they were pre-specified. (janhove.github.io)",
Reasoning Weakness,Optional Stopping / Sequential Peeking,Design & Statistical Pitfalls,"Repeatedly looking at results and stopping when significant, inflating Type I error.",Peeking after every 100 users in an A/B test and halting on the first p<0.05.,
Reasoning Weakness,Publication Bias / File-Drawer Problem,Design & Statistical Pitfalls,"Relying on literature skewed toward positive findings, distorting cumulative evidence.",Meta-analysis omits null studies that were never published. (Scikit-learn),
Reasoning Weakness,Pseudoreplication / Unit-of-Analysis Error,Other / Check,"Treating non-independent observations as independent, overstating precision.",Using multiple measurements per subject as separate data points.,
Reasoning Weakness,Data Leakage (ML),ML / Data Specific,Letting information from the test set (or future) contaminate model training or feature engineering.,Scaling with means computed on the full dataset before the train/test split. (Scikit-learn),
Reasoning Weakness,Look-Ahead Bias (Temporal/Backtest Leakage),Other / Check,Using information not available at decision time in time-series evaluation.,"Backtest uses future price data to generate Òsignals,Ó overstating strategy performance. (JSTOR)",
Reasoning Weakness,Post-Treatment (Bad-Control) Adjustment,Other / Check,"Conditioning on variables affected by the treatment, biasing effect estimates.",Controlling for a mediator when estimating a total causal effect.,
Reasoning Weakness,Conditioning on Colliders,Causal / Identification Errors,"Adjusting for a common effect of exposure and outcome, inducing spurious associations.",Selecting only hospitalized patients when studying exposureÐoutcome links. (PMC),
Reasoning Weakness,Ignoring Aggregation Effects (SimpsonÕs Paradox),Causal / Identification Errors,Drawing conclusions at one aggregation level that reverse after appropriate stratification.,Concluding a treatment helps overall while it harms each subgroup. (PMC),
Reasoning Weakness,Underspecification (Predictive ­ Explanatory),Robustness & Overfitting,Mistaking high predictive accuracy for correct causal/explanatory structure; models fail under shifts.,A classifier performs well in-domain but breaks on slightly different data distributions. (Stanford Encyclopedia of Philosophy),
Reasoning Weakness,Lack of Robustness / Sensitivity Analysis,Robustness & Overfitting,Failing to test whether conclusions survive reasonable perturbations of assumptions or specifications.,A result disappears when alternative covariate sets or bandwidths are used. (Stanford Encyclopedia of Philosophy),
Reasoning Weakness,Ad-Hoc Theory Rescue / Immunizing Stratagems,Other / Check,Introducing auxiliary hypotheses solely to shield a claim from refutation.,"After a failed prediction, adding unfalsifiable clauses to Òexplain awayÓ the anomaly. (Stanford Encyclopedia of Philosophy)",
Reasoning Weakness,Unfalsifiable Framing,Scope / Framing / Language,"Advancing claims that admit no possible empirical test, blocking informative critique.","ÒWhatever happens was meant to happen,Ó offered as an explanation. (Stanford Encyclopedia of Philosophy)",
Reasoning Weakness,Weak/Invalid Instruments (IV),Causal / Identification Errors,"Using instruments that are weakly correlated with treatment or violate exclusion, yielding biased/unstable estimates.",First-stage FÅ5 leads to highly biased 2SLS estimates. (huhuaping.com),
Reasoning Weakness,Reverse Causality / Endogeneity Overlooked,Causal / Identification Errors,Treating an outcome as caused by an exposure when causation plausibly runs the other way (or both ways).,Inferring Òeducation raises earningsÓ without addressing ability-bias or timing. (Columbia Statistics),
Reasoning Weakness,Effect Heterogeneity Ignored,Design & Statistical Pitfalls,Reporting only an average effect when effects vary meaningfully across subgroups or contexts.,"Policy deemed Òineffective on average,Ó masking large benefits for a high-risk subgroup. (NCBI)",
Reasoning Weakness,Extrapolation Beyond Support,Causal / Identification Errors,"Generalizing to covariate regions with little/no overlap, making estimates assumption-driven.",Applying a model trained on young adults to infer effects in seniors without overlap. (PNAS),
Reasoning Weakness,Post-Selection Inference Ignored,Other / Check,"Treating estimates selected after model/search steps as if fixed in advance, understating uncertainty.",Picking variables by lasso then using naive CIs as if the model were pre-specified. (Social Science Computing Cooperative),
Reasoning Weakness,ComparativeÐAbsolute Mismatch,Other / Check,"Answer/claim quietly shifts between comparative and absolute phrasing, changing the burden.",ÒLess intrusive than beforeÓ (comparative) vs. Ònot intrusiveÓ (absolute).,
Reasoning Weakness,Dormant Conditional Reliance,Scope / Framing / Language,Invokes a conditional whose sufficient condition never occurs; the rule is inapplicable.,Citing a policy that triggers only Òif auditedÓ when no audit occurs.,
Reasoning Weakness,Near-Synonym Term Drift (ÒShell GameÓ),Other / Check,Substitutes a close but nonequivalent term between premises and conclusion.,ÒProductivity ÔexploitationÕÓ reinterpreted as Òworker exploitation.Ó,
Reasoning Weakness,Group-Superlative Overreach,Other / Check,Infers from Òbest/worst/fewest/mostÓ about a group to claims not warranted by the evidence.,ÒThe best hospitalsÉÓ used to generalize about all providers.,
Reasoning Weakness,Incremental Analysis Trap,Process / Cognitive Issues,Fragmenting evidence into day-by-day updates prevents seeing the cumulative signal; conclusions reflect Òthe dayÕs takeÓ instead of an integrated body of evidence.,Weekly incident notes downplay an emerging pattern because no single day looks decisive.,
Reasoning Weakness,Premature Closure,Process / Cognitive Issues,Pressure for rapid judgments locks analysts into early interpretations that resist change even as better data arrive.,An early outage diagnosis persists despite later telemetry contradicting the initial story.,
Reasoning Weakness,Consistency Lock-In,Other / Check,"Organizational and self-commitment pressures favor maintaining a written assessment, biasing updates toward consistency.",A published forecast is minimally revised across updates to avoid Òflip-flopping.Ó,
Reasoning Weakness,Mirror-Imaging,Other / Check,Assuming others think/decide as ÒweÓ do; a recurrent source of analytic error.,Projecting domestic risk tolerances onto a foreign regulatorÕs choices.,
Reasoning Weakness,Data Leakage/Peeking,ML / Data Specific,Training sees test/future info.,Feature includes post-event field.,
Reasoning Weakness,Non-Transportable Findings,ML / Data Specific,Effect fails out of domain.,"Lab success, field flop.",
Reasoning Weakness,Collider/Selection Bias,ML / Data Specific,Conditioning opens spurious paths.,Filter on ÒhiredÓ distorts links.,
Reasoning Weakness,Ecological Fallacy,Causal / Identification Errors,Group stats misapplied to individuals.,City average ­ personÕs risk.,
Reasoning Weakness,Ignored Measurement Error,ML / Data Specific,No error model for noisy inputs.,GPS jitter treated as truth.,
Reasoning Weakness,No Mechanism/Warrant Gap,Other / Check,Lacks ÒhowÓ link from evidence.,Correlation with no pathway.,
Reasoning Weakness,Protocol Drift/HARKing Risk,Design & Statistical Pitfalls,Post-hoc hypotheses as a priori.,Outcome switched after peeking.,
Reasoning Weakness,Poor Probability Calibration,Process / Cognitive Issues,Stated odds donÕt match reality.,Ò80% sureÓ right only half.,
Refinement Strategy,Targeted,Focus & Structure,A precisionâfocused strategy that refines specific sections or insights identified as needing improvement.,Concentrating on improving a weak argument step in a proof.,
Refinement Strategy,Exploratory,Exploration & Challenge,A strategy emphasizing creative exploration and discovery when reasoning reaches a plateau.,Brainstorming alternative hypotheses when initial ideas stagnate.,
Refinement Strategy,Synthesis,Exploration & Challenge,Integrating disparate insights to build a coherent understanding across different aspects of a problem.,Combining results from separate analyses into a unified conclusion.,
Refinement Strategy,Validation,Testing & Validation,Applying critical testing and verification to existing insights and conclusions to ensure reliability.,Rechecking calculations or reproducing experiments to confirm results.,
Refinement Strategy,Creative,Exploration & Challenge,Using innovative and lateral thinking to break through conceptual barriers when conventional approaches fail.,Imagining outâofâtheâbox solutions to a persistent problem.,
Refinement Strategy,Critical,Other / Check,Playing devilâs advocate by challenging assumptions and testing the robustness of conclusions.,Questioning each step of reasoning to find potential errors.,
Refinement Strategy,Decomposition,Focus & Structure,Break complex claim into manageable subâclaims.,"Split ""system reliability"" into hardware, software, and process components.",
Refinement Strategy,Abstraction/Generalization,Focus & Structure,Lift from specifics to higherâlevel patterns.,Generalize from appâlevel events to categoryâlevel behaviors.,
Refinement Strategy,Specialization,Focus & Structure,Narrow scope to improve precision and testability.,Focus on highârisk cohorts to refine effect estimates.,
Refinement Strategy,Operationalization,Focus & Structure,Define measurable indicators for latent constructs.,"Translate ""engagement"" into session length, retention, feature use.",
Refinement Strategy,Robustness/Sensitivity,Testing & Validation,Probe whether conclusions survive alternative specs.,Reâestimate with alternative priors and samples.,
Refinement Strategy,Replication/Triangulation,Testing & Validation,Reâtest or combine methods to strengthen confidence.,Independent replication confirms the main effect.,
Refinement Strategy,Variance Test (Evaluate),Testing & Validation,"Toggle an uncertainty true/false to see if the argumentÕs strength varies; if yes, itÕs decision-critical.","ÒWere long-term data collected?ÓÑYes strengthens safety, No weakens.",
Refinement Strategy,Assumption Negation (Necessary),Assumptions & Uncertainty,"Negate a candidate assumption; if the argument collapses, itÕs necessary.",Negating Òno major confounderÓ makes the efficacy claim fail.,
Refinement Strategy,Fact Test (Text-Entailed),Testing & Validation,"For strict inferences, the correct conclusion must be entailed by the given premises.",The only acceptable summary restates whatÕs in the data.,
Refinement Strategy,Mechanistic Bridge (Sufficient),Testing & Validation,Add a bridging premise so the conclusion follows deductively from stated premises.,ÒIf eligible-for-board _ eligible-for-roleÓ closes the gap.,
Refinement Strategy,Supporter vs. Defender Assumptions,Assumptions & Uncertainty,Identify whether the gap is bridged (supporter) or a threat is excluded (defender) before testing options.,Supporter: link new term; Defender: rule out an alternative cause.,
Refinement Strategy,Ground-Up Re-Examination,Other / Check,Periodic re-analysis from scratch to counter incrementalism and path-dependence.,Rebuild the incident timeline from primary logs rather than chaining prior dailies.,
Refinement Strategy,Assumption & Uncertainty Annotation,Assumptions & Uncertainty,Make chains of inference and the degree/source of uncertainty explicit in products.,Include an ÒAssumptions & ConfidenceÓ box that labels key premises and confidence sources.,
Refinement Strategy,Structured Alternative Analysis,Exploration & Challenge,"Systematically surface competing views: analytic debates, devilÕs advocates, competitive analysis, peer review, and outside expertise.",Schedule a red-team memo and a peer review before shipping the assessment.,
Refinement Strategy,Retrospective Evaluation,Testing & Validation,Routine post-publication feedback on estimate accuracy to learn and recalibrate.,Quarterly Brier-score review of forecast decks with team-level takeaways.,
Relationship Type,Supports,Support / Synthesis,Indicates that evidence or reasoning strengthens a claim.,A study supports the hypothesis that a drug is effective.,
Relationship Type,Contradicts,Attack / Defeat,Denotes direct logical opposition between statements.,Data showing no effect contradict a claim of efficacy.,
Relationship Type,Builds On,Other / Check,An idea extends or elaborates on a prior thought.,A subâanalysis builds on initial findings.,
Relationship Type,Answers,Other / Check,Provides a direct response to a posed question.,Evidence answering whether a hypothesis is true.,
Relationship Type,Raises,Other / Check,Generates new questions or uncertainties to explore.,Unexpected results raise new research questions.,
Relationship Type,Refines,Other / Check,Improves the precision or accuracy of an existing thought or argument.,A more detailed experiment refines an earlier theory.,
Relationship Type,Connects,Other / Check,Links disparate concepts or thoughts together.,Finding a connection between two previously unrelated findings.,
Relationship Type,Validates,Support / Synthesis,Independently confirms or verifies a claim or reasoning step.,A replication study validates the original research.,
Relationship Type,Challenges,Attack / Defeat,Questions assumptions or conclusions to test their robustness.,A critical review challenges the methodology of a study.,
Relationship Type,Explains,Causal / Temporal / Structural,Provides a causal or mechanistic explanation for a phenomenon.,A theory explains how a drug interacts with receptors.,
Relationship Type,Requires,Causal / Temporal / Structural,Indicates a logical or practical dependency between reasoning elements.,Testing a hypothesis requires access to relevant data.,
Relationship Type,Attack,Attack / Defeat,"A dialectical relation where one argument or statement counters or attempts to refute another. In argument mapping, an attack relation indicates that the attacking statement undermines the validity of the target claim.","The claim that ""vaccines cause autism"" is attacked by the argument that large-scale epidemiological studies show no causal link.",
Relationship Type,Undercut,Attack / Defeat,A relation where one argument challenges the link between a premise and conclusion of another argument without necessarily refuting its premises. An undercut questions the warrant connecting evidence to claim.,An argument noting that a study used a flawed methodology undercuts conclusions drawn from that study.,
Relationship Type,Entailment,Logical Relations,"A strict logical relation between statements where the truth of one statement guarantees the truth of another. In argument maps, entailment represents deductive implication.","""All mammals are warmâblooded"" entails ""Whales are warmâblooded"" if whales are mammals.",
Relationship Type,Contrariness,Logical Relations,A relation between two statements that cannot both be true but can both be false. It expresses opposing but not directly contradictory claims.,"The statements ""This dress is expensive"" and ""This dress is cheap"" are contrariesâonly one can be true at a time.",
Relationship Type,Contradiction,Logical Relations,A relation between two statements where one must be true and the other false; they cannot both be true or both false.,"The statements ""The light is on"" and ""The light is off"" are contradictory.",
Relationship Type,Counterexample To,Other / Check,Provides an instance that falsifies or challenges a general claim.,"One compliant server fails despite patching, challenging ""patch prevents all failures.""",
Relationship Type,Qualifies/Conditions,Other / Check,Adds conditions or caveats limiting a claimâs scope.,"""Only under low load"" qualifies the performance claim.",
Relationship Type,Analogizes,Comparative / Preference,Connects items by similarity to transfer structure.,Maps onboarding flow to a known funnel pattern.,
Relationship Type,Generalizes,Other / Check,Extends from instances to a broader class.,From two pilot regions to all urban markets.,
Relationship Type,Specializes,Other / Check,Narrows a general claim to a specific case or subset.,"Restricts ""users"" to ""power users"" in analysis.",
Relationship Type,Enables/Inhibits (Causal),Other / Check,Describes enabling or blocking relations between factors.,Feature gating inhibits exposure; exposure enables learning.,
Relationship Type,Rebuts,Attack / Defeat,"Directly argues for the negation of a target claim (attacks the conclusion, not the inference link). (PhilArchive)",ÒVaccines do not increase autism risk.Ó,
Relationship Type,Linked Support (Joint),Other / Check,Premises that must be combined to support a conclusion; neither premise supports it alone. (Wikipedia),ÒA implies BÓ and ÒB implies CÓ jointly support ÒA implies C.Ó,
Relationship Type,Convergent Support (Independent),Other / Check,Multiple independent reasons each support the same claim; the failure of one does not defeat the others. (Informal Logic),"Two separate studies, each on its own, support the efficacy of a drug.",
Relationship Type,Serial Support (Through Sub-conclusion),Other / Check,An intermediate conclusion supports a further conclusion (chain/lemma). (Wikipedia),ÒFeature X improves latencyÓ _ ÒBetter latency improves retentionÓ _ ÒFeature X improves retention.Ó,
Relationship Type,Outweighs / Prefers,Comparative / Preference,A preference relation indicating one argument or scheme should be chosen over another (priority/weighting).,Expert-opinion evidence is preferred to popular-opinion evidence.,
Relationship Type,Defines,Causal / Temporal / Structural,Connects a term to its explicit definition or classification criteria.,ÒBy Ôactive userÕ we mean Ô³1 session/week.ÕÓ,
Relationship Type,Illustrates / Example Of,Causal / Temporal / Structural,Provides an instance that exemplifies a general claim without (by itself) confirming it statistically.,A case vignette illustrating how a workflow fails in practice.,
Relationship Type,Restates / Paraphrases / Equivalent,Logical Relations,Asserts semantic equivalence (often treated as bidirectional entailment in NLI). (jair.org),ÒHome working increases flexibilityÓ Å ÒRemote work allows more schedule control.Ó,
Relationship Type,Part-Of / Has-Part (Meronymy),Other / Check,PartÐwhole relation between concepts (composition). (Stanford University),ÒAuthentication is part of the security architecture.Ó,
Relationship Type,Precedes / Follows (Temporal),Causal / Temporal / Structural,Orders events or conditions in time to support causal or narrative coherence. (UCI Bren School of ICS),ÒBeta preceded the outage window.Ó,
Relationship Type,Explains Away,Causal / Temporal / Structural,Presence/confirmation of one cause reduces support for an alternative cause of the same effect. (strategicreasoning.org),A positive flu test explains a fever and diminishes the hypothesis of drug reaction.,
Relationship Type,Consistent With,Other / Check,"Claims/evidence do not contradict the target claim and modestly increase plausibility, without entailing it.",Observed trend is consistent with the modelÕs forecast but could have other causes.,
Relationship Type,Contrasts,Comparative / Preference,Highlights relevant differences between two claims/options without asserting logical opposition. (Cambridge Computer Lab),ÒPolicy A prioritizes speed; Policy B prioritizes safety.Ó,
Relationship Type,Concedes (But),Other / Check,Acknowledges an opposing consideration while maintaining the main claim (RST ÒConcessionÓ). (Cambridge Computer Lab),"ÒThe sample is small, but the effect replicates across sites.Ó",
Relationship Type,Justifies,Support / Synthesis,Supplies reasons aimed at increasing the audienceÕs readiness to accept a claim (RST ÒJustifyÓ). (Cambridge Computer Lab),"Providing rationale for a policy beyond raw evidence (e.g., ethical grounds).",
Relationship Type,Background / Context,Causal / Temporal / Structural,Supplies necessary context to interpret or evaluate a claim. (Cambridge Computer Lab),Prior regulatory changes that frame the current results.,
Relationship Type,Synthesizes / Integrates (Triangulates),Support / Synthesis,"Combines multiple, diverse sources/methods to reach a consolidated judgment. (PubMed)","Converging findings from RCTs, logs, and interviews to support a conclusion.",
Relationship Type,Distinguishes,Other / Check,Draws a principled boundary between near-neighbors to avoid equivocation.,Separating correlation from causation in an analysis.,
Relationship Type,Presupposes / Assumes,Causal / Temporal / Structural,Marks content that must already hold for a claim to be meaningful or felicitous.,ÒWe will continue the pilotÓ presupposes a pilot is already running.,
Relationship Type,Resolves (Explains the Discrepancy),Causal / Temporal / Structural,"A statement that, if true, makes two seemingly conflicting facts cohere.","ÒHigh prices signaled exclusivity,Ó reconciling higher prices with higher sales.",
Relationship Type,Interconnectivity (Network),Causal / Temporal / Structural,"Highlights how elements are linked in a network, emphasising structural interdependence rather than simple causeÐeffect.","Mortgage_backed securities spread risk across investors, linking disparate loans into a single system.",
Relationship Type,Contagion/Spread,Causal / Temporal / Structural,Describes how effects propagate through interconnected systems or networks.,Financial panic spreading from one bank to others through interbank lending.,
Relationship Type,Change_Point Detection,Other / Check,Identifies a sharp shift marking the start of a new phase or regime.,Lehman BrothersÕ bankruptcy marks an inflection point in the 2008 financial crisis.,
Relationship Type,Trend Evolution (Statistical),Causal / Temporal / Structural,Indicates a sustained trend or pattern over time rather than a one_off event.,Tracking exponential growth in smartphone adoption over a decade.,
Relationship Type,Indirect Causation,Causal / Temporal / Structural,Captures causal effects mediated through intermediate variables rather than direct connections.,"Rating_agency errors misled investors, which then worsened the crisis.",
Relationship Type,Feedback Loop,Causal / Temporal / Structural,"Describes circular causation where outputs of a process influence its inputs, reinforcing or dampening the process.","Higher iPod sales drive iTunes purchases, which in turn increase iPod appeal, reinforcing sales.",
Relationship Type,Deviation/Anomalous Pattern,Causal / Temporal / Structural,Highlights data points or behaviours that diverge significantly from expected trends.,"Early economic models failed to capture investor panic, deviating from predicted risk patterns.",
Relationship Type,Sequential Pattern,Causal / Temporal / Structural,Orders events in a causal or temporal sequence to convey progression.,"Economic stimulus leads to conservative lending, then to recovery.",
Relationship Type,Centrality,Causal / Temporal / Structural,Points out a pivotal or central element in a network whose influence radiates outward.,Steve WozniakÕs early engineering work served as a central foundation for AppleÕs later success.,
Relationship Type,Structural Gap,Causal / Temporal / Structural,Draws attention to a missing piece or unaddressed factor needed to explain an outcome.,"Models missed investor irrationality, leaving a gap in explaining financial panic.",
Relationship Type,Temporal Shift,Causal / Temporal / Structural,Marks a turning point when conditions or strategies shift dramatically.,An internal operational change prompts a shift from cost_cutting to innovation.,
Relationship Type,Reinforcement,Support / Synthesis,Shows that one claim or piece of evidence amplifies or strengthens another.,Multiple user testimonials reinforce the conclusion that a product is reliable.,
Relationship Type,General Link (Transitive),Causal / Temporal / Structural,"Connects multiple elements through a transitive chain, illustrating how distant concepts are linked.",Linking subprime mortgages to contagion and ultimately to global economic effects.,
Relationship Type,Rebut (Direct Counter-Conclusion),Other / Check,Opposite conclusion asserted.,ÒX worksÓ vs. ÒX fails.Ó,
Relationship Type,Defeats (Under Priority Rules),Attack / Defeat,Higher-priority argument overrides.,Specific exception beats default.,
Relationship Type,Analogical Support,Other / Check,Similar case bolsters claim.,Privacy Å property analogy.,
Relationship Type,Corroborates/Bi-Directional Support,Support / Synthesis,Mutual reinforcement between items.,A supports B; B consistent with A.,
Relationship Type,Depends On/Assumes,Causal / Temporal / Structural,Logical dependency noted.,Claim requires common support.,
Relationship Type,Operationalizes/Defines,Causal / Temporal / Structural,Turns concept into measurable form.,ÒEngagement = 7-day active.Ó,
Rhetorical Appeal,Logos,Core Appeals,Appeal to reason/evidence/consistency.,Uses data and valid inferences to justify a policy.,
Rhetorical Appeal,Ethos,Core Appeals,Appeal to character/credibility/trust.,Cites long clinical experience and peer reputation.,
Rhetorical Appeal,Pathos,Core Appeals,Appeal to emotion/values/identities.,Narrates a patient story to highlight stakes.,
Rhetorical Appeal,Kairos,Timing & Purpose,Appeal to timeliness/opportunity.,ÒWe must act before the window for containment closes.Ó,
Rhetorical Appeal,Telos,Timing & Purpose,Appeal to purpose/end goal.,"Defines the ultimate aim and aligns claims, evidence, and calls to action with that purpose.",
Rhetorical Goal,Persuasion,Persuasion / Refutation,"Use arguments to convince an audience to adopt a belief, value or action by appealing to logic, credibility and emotion.",Political speeches and advertising often aim to persuade people to change behavior.,
Rhetorical Goal,Inquiry/Investigation,Inquiry / Reporting,Seek to discover the truth or best-supported answer to a question by exploring evidence and testing hypotheses.,Scientific research aims to investigate hypotheses rather than persuade.,
Rhetorical Goal,Deliberation,Deliberation / Negotiation,Collaborative argumentation where participants exchange reasons to reach a collective decision or consensus.,Legislative debates where lawmakers weigh options to decide policy.,
Rhetorical Goal,Justification/Explanation,Predictive / Normative / Explanation,"Provide reasons for a belief or decision that is already held, often to rationalize or clarify the grounds for it.",Explaining why a chosen research method was appropriate after the study is completed.,
Rhetorical Goal,Negotiation,Deliberation / Negotiation,Use arguments to resolve a conflict of interest and find a mutually acceptable outcome.,Labor negotiations in which both sides justify concessions to reach a contract.,
Rhetorical Goal,Eristic Dialogue,Other / Check,"Engage in argument primarily to defeat an opponent and win a debate, sometimes at the expense of truth or fairness.",Televised debates focused on scoring points against an opponent rather than finding truth.,
Rhetorical Goal,Instruction/Teaching,Instruction / Demonstration,Use argument to explain and transfer knowâhow or conceptual understanding.,A methods section or lecture justifying why and how to run a design of experiments.,
Rhetorical Goal,Refutation/Defense,Persuasion / Refutation,Systematically answer objections and protect an existing claim or decision.,A response-to-reviewers letter addressing each criticism with evidence and reasoning.,
Rhetorical Goal,Reporting/Informing,Inquiry / Reporting,"Present information with minimal persuasion, focused on accurate transmission and context.",A neutral incident report that assembles facts and sources without advocating a policy.,
Rhetorical Goal,Predictive,Predictive / Normative / Explanation,Make projections or forecasts about what is likely to happen.,ÒRaising interest rates will likely lower inflation next quarterÓ.,
Rhetorical Goal,Normative,Predictive / Normative / Explanation,Argue about what ought to be done based on ethical or value_laden standards.,ÒHealthcare access should be universal because it is a basic rightÓ.,
Rhetorical Goal,Descriptive,Inquiry / Reporting,"Provide neutral, factual descriptions without advocacy.",A report summarising voter turnout statistics across districts.,
Rhetorical Goal,Demonstrative,Instruction / Demonstration,Show or illustrate a principle through example or experiment.,Demonstrating NewtonÕs laws with a pendulum experiment.,
Standard of Proof,Reasonable Suspicion,Criminal / Civil (Courts),"A low evidentiary threshold allowing brief investigative stops when specific, articulable facts suggest criminal activity; lower than probable cause.",A ÒTerry stopÓ based on observed hand-to-hand exchanges and evasive behavior. (Reading Room),
Standard of Proof,Probable Cause,Criminal / Civil (Courts),Facts and circumstances sufficient to warrant a reasonable belief that a person committed a crime or that evidence will be found; required for arrest and search warrants.,Judge issues a search warrant upon an affidavit establishing probable cause. (Legal Information Institute),
Standard of Proof,Prima Facie Showing,Administrative / Procedural,"Minimal showing that, if unrebutted, is sufficient to proceed or shift the burden; often a gateway threshold in administrative or civil contexts.",An agency must first make a prima facie case before the respondent must come forward with evidence. (Legal Information Institute),
Standard of Proof,ÒSome EvidenceÓ,Administrative / Procedural,"Extremely minimal evidentiary floorÑany evidence in the record that could support a decision; used in certain due-process contexts (e.g., prison discipline).",Revoking good-time credits is upheld if supported by Òsome evidence.Ó (library.oconnorinstitute.org),
Standard of Proof,Substantial Evidence (Administrative Review),Administrative / Procedural,"Appellate/ judicial review standard asking whether an agencyÕs decision is supported by Òsuch relevant evidence as a reasonable mind might acceptÓ; more than a scintilla, less than preponderance.",Court sustains an agencyÕs fact-finding if supported by substantial evidence on the whole record. (Legal Information Institute),
Standard of Proof,Comfortable Satisfaction (Sports Arbitration),Other / Check,CAS/WADA standard higher than balance of probabilities but lower than beyond reasonable doubt; applied with a sliding scale sensitive to allegation seriousness.,Doping violation must be proven to the panelÕs Òcomfortable satisfaction.Ó (jurisprudence.tas-cas.org),
Standard of Proof,Substantial Evidence (FDA Efficacy),Other / Check,Regulatory approval threshold requiring Òadequate and well-controlled investigationsÓ by qualified experts showing effectiveness.,NDA approved based on one or more adequate and well-controlled trials (plus confirmatory evidence in some cases). (Legal Information Institute),
Standard of Proof,Reasonable Assurance (Attestation/Audit),Audit / Attestation,HighÑbut not absoluteÑassurance obtained through sufficient appropriate evidence in an examination engagement.,SOC 2 Type 2 examination providing reasonable assurance over control effectiveness. (IAASB),
Standard of Proof,Limited (Moderate) Assurance (Attestation/Audit),Audit / Attestation,Lower assurance level using fewer/ different procedures; conclusion expressed in negative form (nothing came to our attentionÉ).,Limited assurance over a sustainability report under ISAE 3000 (Revised). (ICAEW),
Standard of Proof,ALARP Safety-Case Demonstration,Regulatory / Safety / Engineering,Risk-based decision standard requiring evidence that residual risk is reduced Òas low as reasonably practicableÓ (often with a bias toward safety).,UK HSE accepts a safety case where controls reduce major-hazard risks to ALARP. (hse.gov.uk),
Standard of Proof,Reasonable Basis (Advertising Substantiation),Regulatory / Safety / Engineering,Regulatory substantiation standard requiring a Òreasonable basisÓ for objective claims; health/safety claims typically require Òcompetent and reliable scientific evidence.Ó,Health benefit claims supported by competent and reliable scientific evidence (often RCTs). (Federal Trade Commission),
Standard of Proof,Intime Conviction / Inner Conviction (Civil-law Systems),Administrative / Procedural,"Decision makerÕs personal conviction standard (no fixed probabilistic threshold), used in some civil-law jurisdictions across civil and criminal matters.",A French judge decides based on inner conviction rather than ÒpreponderanceÓ or Òbeyond reasonable doubtÓ formulas. (Vermont Law Review),
Standard of Proof,Beyond reasonable doubt,Criminal / Civil (Courts),Highest threshold; errors favor avoiding false convictions.,Criminal verdict requires evidence that leaves no reasonable doubt.,
Standard of Proof,Clear and convincing,Criminal / Civil (Courts),Intermediate threshold; high probability required.,Terminating parental rights needs clear and convincing evidence.,
Standard of Proof,Preponderance of evidence,Criminal / Civil (Courts),>50% likelihood; Òmore likely than not.Ó,Civil liability established on balance of probabilities.,
Standard of Proof,Scientific standard,Scientific / Research,"Discipline-specific threshold (e.g., _ levels, effect sizes).",Clinical trial reports p<0.05 with clinically meaningful effect.,
Standard of Proof,Precautionary principle,Scientific / Research,Act under uncertainty when potential harms are severe/irreversible.,Restrict a chemical despite incomplete causal proof.,
Standard of Proof,Substantial Evidence (Admin),Administrative / Procedural,ÒReasonable mindÓ support standard.,Agency rule upheld on record.,
Standard of Proof,Prima Facie Threshold,Administrative / Procedural,Minimal case before rebuttal.,Evidence sufficient to proceed.,
Standard of Proof,Probable Cause/Reasonable Suspicion,Criminal / Civil (Courts),"Specific, articulable grounds.",Warrant based on credible tips.,
